,jd,lon,lat,sat,cyc,dir,azif,azim,azia,incf,incm,inca,sigf,sigm,siga,swath,kpf,kpm,kpa,mdis,num
2007-03-13 03:00:47+00:00,2454172.6255487967,0.0,0.0,3,0,A,114.58387756347656,69.64942169189453,24.754362106323242,62.28633117675781,51.11945724487305,62.2103385925293,-15.596477508544922,-13.281197547912598,-15.344922065734863,0,0.031943224370479584,0.044175099581480026,0.029869992285966873,3.7834620475769043,7
2007-03-13 16:59:36+00:00,2454173.2080562157,0.0,0.0,3,0,D,-27.192895889282227,-72.0155258178711,-117.04047393798828,46.638771057128906,36.0783805847168,46.73139953613281,-12.415070533752441,-9.868409156799316,-12.197193145751953,0,0.03048064187169075,0.03422141820192337,0.03497202321887016,8.380491256713867,4
2007-03-15 16:18:15+00:00,2454175.179345232,0.0,0.0,3,0,D,56.307743072509766,101.52997589111328,146.6827392578125,36.76808166503906,27.545795440673828,36.778079986572266,-10.998703002929688,-8.065971374511719,-11.373586654663086,1,0.034948740154504776,0.0353306420147419,0.03011377342045307,6.491008281707764,4
2007-03-16 15:57:28+00:00,2454176.1649137507,0.0,0.0,3,0,D,52.34849548339844,98.44554138183594,144.3829803466797,61.84297561645508,50.4452018737793,61.842628479003906,-15.664134979248047,-14.177057266235352,-16.068614959716797,1,0.02525215782225132,0.0271929781883955,0.028799235820770264,2.3837997913360596,7
2007-03-17 17:16:47+00:00,2454177.2199916556,0.0,0.0,3,0,D,-24.54827308654785,-69.36894989013672,-114.39895629882812,63.400001525878906,52.38999938964844,63.56999969482422,-16.486186981201172,-14.663310050964355,-16.551313400268555,0,0.037552885711193085,0.035678680986166,0.02781423181295395,6.333146572113037,3
2007-03-18 16:56:11+00:00,2454178.205690498,0.0,0.0,3,0,D,-27.691972732543945,-72.54029083251953,-117.5975570678711,41.88115310668945,31.857223510742188,41.960792541503906,-13.007675170898438,-10.654386520385742,-13.276067733764648,0,0.034330815076828,0.039467692375183105,0.024432146921753883,4.653884410858154,7
2007-03-20 16:14:49+00:00,2454180.1769578247,0.0,0.0,3,0,D,55.694061279296875,101.0383071899414,146.31210327148438,41.93619155883789,31.87688636779785,41.9330940246582,-12.268630981445312,-10.07620620727539,-12.157721519470215,1,0.03204866126179695,0.039073649793863297,0.0345802940428257,4.038809776306152,7
2007-03-22 03:14:36+00:00,2454181.635140047,0.0,0.0,3,0,A,116.7470703125,71.86859130859375,26.91927719116211,48.69221115112305,37.902713775634766,48.657047271728516,-15.050423622131348,-13.077300071716309,-14.753668785095215,0,0.0308222658932209,0.035130854696035385,0.039879247546195984,5.768543243408203,6
2007-03-22 17:13:22+00:00,2454182.217625961,0.0,0.0,3,0,D,-25.074359893798828,-69.88365173339844,-114.89013671875,60.90804672241211,49.82088851928711,61.05377960205078,-16.264101028442383,-14.94066047668457,-16.30065155029297,0,0.030650904402136803,0.031547605991363525,0.03471689671278,4.489297389984131,7
2007-03-24 04:13:15+00:00,2454183.6758737853,0.0,0.0,3,0,A,-145.0110626220703,-99.2418212890625,-53.419960021972656,57.223079681396484,45.81489944458008,57.11530685424805,-15.470003128051758,-14.114343643188477,-16.22645378112793,1,0.02881789393723011,0.03367644175887108,0.02691044472157955,2.6142213344573975,7
2007-03-25 16:11:24+00:00,2454185.174592072,0.0,0.0,3,0,D,55.028053283691406,100.51719665527344,145.91644287109375,46.926395416259766,36.243324279785156,46.92646408081055,-13.519392967224121,-11.263601303100586,-13.296732902526855,1,0.028822418302297592,0.03525273874402046,0.03365010395646095,6.061189651489258,7
2007-03-27 03:11:11+00:00,2454186.632773924,0.0,0.0,3,0,A,116.19640350341797,71.31639862060547,26.397947311401367,52.69680404663086,41.648738861083984,52.64834976196289,-14.629475593566895,-13.489319801330566,-15.444771766662598,0,0.030032310634851456,0.033787745982408524,0.030098870396614075,2.4872894287109375,7
2007-03-27 17:10:00+00:00,2454187.2152819103,0.0,0.0,3,0,D,-25.620847702026367,-70.4214859008789,-115.41673278808594,57.92930603027344,46.82136535644531,58.0645637512207,-13.12148380279541,-11.475323677062988,-12.580214500427246,0,0.032899536192417145,0.031094932928681374,0.025443676859140396,5.866161823272705,6
2007-03-29 04:09:49+00:00,2454188.6734858803,0.0,0.0,3,0,A,-145.3902130126953,-99.75289154052734,-54.08467483520508,53.58513641357422,42.3232421875,53.4681282043457,-13.005910873413086,-11.951622009277344,-13.814777374267578,1,0.029439209029078484,0.03446398675441742,0.03449838235974312,1.880128026008606,8
2007-03-30 16:07:58+00:00,2454190.172204619,0.0,0.0,3,0,D,54.3731689453125,100.00183868408203,145.5272979736328,51.28055191040039,40.20881652832031,51.28055191040039,-13.027801513671875,-11.318957328796387,-13.075101852416992,1,0.030419783666729927,0.03818417713046074,0.028470654040575027,3.3870863914489746,7
2007-04-01 03:07:47+00:00,2454191.6304077436,0.0,0.0,3,0,A,115.65800476074219,70.76441192626953,25.863380432128906,56.22916793823242,45.06013488769531,56.169132232666016,-13.998417854309082,-12.27557373046875,-13.575069427490234,0,0.033224333077669144,0.026516517624258995,0.03226722031831741,2.913053035736084,7
2007-04-01 17:06:36+00:00,2454192.212919179,0.0,0.0,3,0,D,-26.156957626342773,-70.95829772949219,-115.9478988647461,54.6063117980957,43.550296783447266,54.72584915161133,-12.81165885925293,-11.657658576965332,-13.048171043395996,0,0.026353683322668076,0.03559478372335434,0.037220265716314316,4.960592269897461,7
2007-04-03 04:06:22+00:00,2454193.671098068,0.0,0.0,3,0,A,-145.77719116210938,-100.27154541015625,-54.74518585205078,49.44242477416992,38.4696044921875,49.345977783203125,-13.19248104095459,-11.919225692749023,-13.653773307800293,1,0.03546581417322159,0.03083462454378605,0.029182231053709984,5.007132053375244,7
2007-04-06 03:04:22+00:00,2454196.62804169,0.0,0.0,3,0,A,115.12165069580078,70.21269226074219,25.320775985717773,59.41753387451172,48.21229553222656,59.34604263305664,-15.795808792114258,-13.410675048828125,-14.928852081298828,0,0.03009018488228321,0.038575511425733566,0.03428060561418533,6.297379016876221,6
2007-04-06 17:03:11+00:00,2454197.210553357,0.0,0.0,3,0,D,-26.682798385620117,-71.4927978515625,-116.4927978515625,50.88023376464844,40.000709533691406,50.99329376220703,-12.970375061035156,-11.9844970703125,-13.700519561767578,0,0.03321667015552521,0.02600417472422123,0.04104623943567276,5.759133338928223,7
2007-04-08 04:02:58+00:00,2454198.668731991,0.0,0.0,3,0,A,-146.1673126220703,-100.78760528564453,-55.39820861816406,44.79933166503906,34.30172348022461,44.70315933227539,-14.616681098937988,-12.110881805419922,-14.372882843017578,1,0.03562076762318611,0.035824861377477646,0.03242970257997513,4.495774269104004,7
2007-04-09 16:01:05+00:00,2454200.167429607,0.0,0.0,3,0,D,53.03310012817383,98.96014404296875,144.7540740966797,58.670467376708984,47.29907989501953,58.68046951293945,-15.151487350463867,-14.016189575195312,-16.00718116760254,1,0.03316516429185867,0.027424653992056847,0.034817151725292206,4.2185564041137695,7
2007-04-10 03:21:34+00:00,2454200.639979908,0.0,0.0,3,0,A,117.88687133789062,72.98260498046875,27.931827545166016,39.090858459472656,29.42148208618164,39.06590270996094,-12.96485710144043,-10.509668350219727,-12.652228355407715,0,0.030717387795448303,0.0354161262512207,0.02927253395318985,7.833134174346924,4
2007-04-11 03:00:58+00:00,2454201.6256783223,0.0,0.0,3,0,A,114.59589385986328,69.65924072265625,24.764102935791016,62.27390670776367,51.10050964355469,62.19658279418945,-15.865520477294922,-13.43767261505127,-14.443591117858887,0,0.034835949540138245,0.02967030741274357,0.030558286234736443,4.669450283050537,6
2007-04-11 16:59:47+00:00,2454202.2081875005,0.0,0.0,3,0,D,-27.19821548461914,-72.02046966552734,-117.04319763183594,46.66584396362305,36.096927642822266,46.759033203125,-12.594730377197266,-11.251046180725098,-13.109647750854492,0,0.030538396909832954,0.03537362068891525,0.030746839940547943,6.507946014404297,6
